equip_id,equip_name,type,sector,site_id,max_wind_kph,fuel_pct,last_inspection_date,last_inspection_result,status_scenario_a,status_scenario_b,status_scenario_c,assigned_crew,notes
EQP-001,Port Cargo Crane #3,Crane,Ocean / Port Operations,SITE-01,75,N/A,2024-10-28,PASS,SUSPENDED,SECURED,INSPECTION PENDING,CRW-001,Suspended at 68 kph in Scenario A. Secured before peak wind in Scenario B. Scenario C: crane inspection required before return to service — CRW-001 leading assessment.
EQP-002,Incident Command Post Trailer,Mobile Command,Ocean / Port Operations,SITE-01,UNLIMITED,N/A,2024-10-01,PASS,DEPLOYED,DEPLOYED,DEPLOYED,CRW-001,Active telecom link to regional EOC throughout all scenarios. Serves as the StormBridge physical hub at SITE-01.
EQP-003,Emergency Generator Gen-A,Generator,Ocean / Port Operations,SITE-01,UNLIMITED,96,2024-11-10,PASS,STANDBY,ACTIVE,STANDBY,CRW-001,Activated in Scenario B on grid loss at 11:14. Ran for 6.5 hours. Fuel adequate throughout. Returned to standby in Scenario C on grid restoration.
EQP-004,Marine Boom Barrier,Marine Equipment,Ocean / Port Operations,SITE-02,80,N/A,2024-09-30,CONDITIONAL,DEPLOYED,BREACHED,REMOVED,CRW-006,Rated to 2.5m wave height. Scenario B wave forecast 7.2m — barrier breached at fuel pier. Scenario C: removed for structural inspection before reinstallation.
EQP-005,Portable Light Tower,Lighting,Ocean / Port Operations,SITE-02,80,68,2024-11-01,PASS,OPERATIONAL,SECURED,OPERATIONAL,CRW-006,Used for low-visibility securing operations in Scenario A. Secured ahead of Scenario B peak wind. Scenario C: redeployed for pier inspection work in low-light conditions.
EQP-006,Transformer Unit TX-7,Power Infrastructure,Energy / Utilities,SITE-03,N/A,N/A,2024-09-15,FAIL,DEGRADED,FAILED,ISOLATED,CRW-011,Flagged FAIL at September inspection. Storm wind and ice loading caused collapse in Scenario B — triggering 18200-customer outage. Scenario C: isolated and replacement unit en route with ETA 14:00.
EQP-007,Emergency Generator Gen-B,Generator,Energy / Utilities,SITE-03,UNLIMITED,84,2024-11-08,PASS,STANDBY,ACTIVE,STANDBY,CRW-009,Pre-emptively activated in Scenario B ahead of grid fluctuation at 10:31. Returned to standby in Scenario C as grid stabilized on alternate feed.
EQP-008,Utility ATV,Light Vehicle,Energy / Utilities,SITE-03,95,89,2024-11-11,PASS,AVAILABLE,STANDBY,OPERATIONAL,CRW-008,Available for lineworker transport. Scenario C: CRW-008 using for pole inspection run along Feeder Line 7.
EQP-009,Transmission Tower 14B,Power Infrastructure,Energy / Utilities,SITE-04,N/A,N/A,2024-10-10,PASS,MONITORED,CRITICAL LOAD,STABLE — REPAIR PENDING,CRW-010,Ice accretion detected at 6mm in Scenario B — above 4mm design threshold. CRW-010 flagged remotely. Scenario C: stable under continued monitoring; physical repair crew en route.
EQP-010,Emergency Generator Gen-C,Generator,Mining / Remote Industrial Sites,SITE-05,UNLIMITED,71,2024-11-05,PASS,ACTIVE,ACTIVE,ACTIVE,CRW-012,Running continuously for surface comms and safety systems at Voisey's Bay. Fuel at 71% entering Scenario B — flagged for resupply. Resupply delayed 22 hours by road closure. Load-shedding of non-safety systems initiated.
EQP-011,Caterpillar 793F Haul Truck #1,Heavy Vehicle,Mining / Remote Industrial Sites,SITE-05,110,91,2024-11-01,PASS,OPERATIONAL,PARKED — SHELTERED,STANDBY,CRW-013,Wind rating 110 kph. Scenario B sustained wind reached 118 kph — truck parked and CRW-013 recalled. Scenario C: standby pending surface clearance.
EQP-012,Caterpillar 793F Haul Truck #2,Heavy Vehicle,Mining / Remote Industrial Sites,SITE-05,110,76,2024-11-01,PASS,OPERATIONAL,PARKED — SHELTERED,STANDBY,CRW-015,Same profile as EQP-011. Recalled alongside CRW-013 and CRW-015 simultaneously.
EQP-013,Tucker Sno-Cat,Tracked Vehicle,Mining / Remote Industrial Sites,SITE-05,UNLIMITED,92,2024-11-03,PASS,STANDBY,STANDBY,OPERATIONAL,CRW-014,Unlimited wind rating on tracked vehicle. Scenario C: deployed for 68 km access road condition assessment ahead of wheeled vehicle clearance.
EQP-014,Fuel Bowser Tanker Truck,Heavy Vehicle,Mining / Remote Industrial Sites,SITE-05,85,97,2024-11-09,PASS,OPERATIONAL,SECURED,DISPATCHED,CRW-014,Scenario C: dispatched to resupply Gen-C once road assessment confirms safe surface. Dispatch contingent on TSK road clearance task completing first.
EQP-015,Spill Response Trailer,Environmental,Mining / Remote Industrial Sites,SITE-06,UNLIMITED,N/A,2024-10-20,PASS,STANDBY,DEPLOYED,STANDBY,CRW-017,Pre-positioned at plant gate in Scenario A per storm plan. Deployed to processing area in Scenario B as precaution during shutdown. CRW-017 confirmed no spill events.
