task_id,scenario,scenario_label,task_name,sector,site_id,trigger_condition,priority_score,required_role,required_cert_min,est_duration_hrs,assigned_crew,equip_required,task_status,watsonx_confidence,human_approved,approved_by,approved_at,business_impact_if_delayed,notes
TSK-A01,SCENARIO-A,Moderate Storm,Suspend cargo crane operations above wind threshold,Ocean / Port Operations,SITE-01,"wind_kph_sustained >= 65",82,Emergency Response Coordinator,L4,0.5,CRW-001,EQP-001,COMPLETED,0.91,YES,CRW-001,2024-11-14T07:20:00Z,Operating crane above rated wind speed risks structural failure and falling load — injury and $400K equipment loss,Crane suspended and secured at 07:20 before wind reached threshold. Standard protocol executed without delay.
TSK-A02,SCENARIO-A,Moderate Storm,Monitor transformer TX-7 load and flag for isolation,Energy / Utilities,SITE-03,"equip_inspection_result = FAIL AND wind_kph_sustained >= 50",78,Electrical Systems Technician,L3,2.0,CRW-011,EQP-006,COMPLETED,0.81,YES,CRW-009,2024-11-14T08:00:00Z,Unmonitored degraded transformer under storm loading fails without warning — 18200 customers lose power with no advance load shed,CRW-011 dispatched from SITE-01 for continuous monitoring. Load readings logged every 15 minutes.
TSK-A03,SCENARIO-A,Moderate Storm,Initiate controlled nickel processing ramp-down,Mining / Remote Industrial Sites,SITE-06,"storm_severity >= MODERATE AND wind_kph_sustained >= 55",88,Process Control Engineer,L3,6.0,CRW-016,NONE,COMPLETED,0.93,YES,CRW-017,2024-11-14T08:10:00Z,Unplanned shutdown during peak processing risks $2.4M in equipment damage and potential environmental release,Proactive shutdown initiated at 08:10. Estimated completion 14:10. Gives Scenario C a clean restart window.
TSK-A04,SCENARIO-A,Moderate Storm,Issue vessel traffic advisory for St. John's harbour,Ocean / Port Operations,SITE-01,"wave_height_m >= 2.5 OR wind_kph_sustained >= 65",75,Marine Safety Officer,L4,0.5,CRW-002,NONE,COMPLETED,0.94,YES,CRW-001,2024-11-14T07:30:00Z,Vessels proceeding without warning risk collision or grounding — liability and cargo loss,Advisory issued at 07:30 to Transport Canada Coast Guard and all registered vessel operators in ZONE-PORT.
TSK-A05,SCENARIO-A,Moderate Storm,Secure laydown and loose equipment at SITE-02,Ocean / Port Operations,SITE-02,"wind_kph_sustained >= 60",70,Port Safety Inspector,L3,2.0,CRW-006,EQP-005,COMPLETED,0.85,YES,CRW-004,2024-11-14T07:45:00Z,Unsecured equipment in 90 kph gusts causes secondary damage and post-storm debris hazard,Completed before wind escalation to EXTREME. EQP-005 light tower used for low-visibility work on the pier.
TSK-B01,SCENARIO-B,Severe Storm,Recall all surface crew to shelter — Voisey's Bay,Mining / Remote Industrial Sites,SITE-05,"wind_kph_sustained >= 100",98,Mine Safety Supervisor,L4,0.5,CRW-012,NONE,COMPLETED,0.97,YES,CRW-012,2024-11-14T10:15:00Z,Personnel in open pit at 118 kph sustained wind — life safety risk and regulatory stop-work obligation,HIGHEST PRIORITY. CRW-013 and CRW-015 recalled from open pit. All 142 personnel accounted for by 10:28.
TSK-B02,SCENARIO-B,Severe Storm,Execute controlled load shed — Feeder Line 7,Energy / Utilities,SITE-03,"equip_status = FAILED AND storm_severity = EXTREME",95,Grid Operations Supervisor,L4,1.0,CRW-009,EQP-007,COMPLETED,0.94,YES,CRW-009,2024-11-14T10:22:00Z,Uncontrolled outage gives 18200 customers no warning and extends restoration time by 4–6 hours,Load shed to alternate feed at 10:22. Approximately 9400 customers restored. TX-7 isolated before full collapse.
TSK-B03,SCENARIO-B,Severe Storm,Replace fatigued lineworker on Feeder Line 7,Energy / Utilities,SITE-03,"hours_on_shift >= 6 AND storm_rated = NO AND storm_severity >= HIGH",90,Lineworker,L2,4.0,CRW-008,EQP-008,COMPLETED,0.88,YES,CRW-009,2024-11-14T10:35:00Z,Fatigued non-storm-rated worker on energized lines in EXTREME conditions — elevated injury risk and WSCC compliance breach,CRW-007 stood down. CRW-008 dispatched and on-site by 10:50. Handover completed safely.
TSK-B04,SCENARIO-B,Severe Storm,Issue site isolation notice and crew status to EOC,Mining / Remote Industrial Sites,SITE-05,"road_closed = TRUE AND helicopter_suspended = TRUE",92,Mine Safety Supervisor,L4,0.5,CRW-012,EQP-002,COMPLETED,0.96,YES,CRW-012,2024-11-14T11:00:00Z,Families and corporate leadership unaware of 142 personnel status — duty-of-care obligation and reputational risk,Stakeholder notice issued at 11:00 confirming all personnel safe and sheltered. Transmitted via command post EQP-002.
TSK-B05,SCENARIO-B,Severe Storm,Send manager brief and stakeholder update — all sectors,All Sectors,ALL,"storm_severity = EXTREME",88,Emergency Response Coordinator,L4,0.5,CRW-001,EQP-002,PENDING — AWAITING APPROVAL,0.91,NO,,,Delayed multi-sector comms creates uncoordinated agency response and misinformation risk,watsonx draft complete covering all six sites. Held at PENDING — awaiting human review and approval by CRW-001 before dispatch to EOC and stakeholders.
TSK-C01,SCENARIO-C,Recovery,Conduct access road condition assessment — Voisey's Bay,Mining / Remote Industrial Sites,SITE-05,"storm_severity <= LOW AND road_closed = TRUE",88,Surface Operations Lead,L3,3.5,CRW-014,EQP-013,IN PROGRESS,0.90,YES,CRW-012,2024-11-15T10:30:00Z,Premature wheeled vehicle clearance on damaged road risks vehicle loss and crew injury,Sno-Cat deployed at 10:30. 68 km road assessment underway. Fuel bowser dispatch (EQP-014) blocked until this task completes.
TSK-C02,SCENARIO-C,Recovery,Begin Feeder Line 7 transformer replacement,Energy / Utilities,SITE-03,"storm_severity <= MODERATE AND road_open = TRUE AND replacement_unit_arrived = TRUE",92,Electrical Systems Technician,L3,8.0,CRW-011,EQP-006,IN PROGRESS,0.93,YES,CRW-009,2024-11-15T11:00:00Z,Every hour of delay keeps approximately 9400 customers without power — $38K per hour economic impact,Replacement unit on schedule. CRW-011 and CRW-008 on site. Estimated full restoration 18:00–20:00.
TSK-C03,SCENARIO-C,Recovery,Initiate Long Harbour processing plant restart sequence,Mining / Remote Industrial Sites,SITE-06,"storm_severity <= LOW AND environmental_check = CLEAR AND equip_check = PASS",90,Process Control Engineer,L3,4.0,CRW-016,NONE,IN PROGRESS,0.91,YES,CRW-017,2024-11-15T10:00:00Z,Every hour of halted processing costs $88K — safe restart recovers $350K+ over a 4-hour ramp-up,CRW-017 confirmed no spill events. CRW-016 initiated restart at 10:00. Full production estimated by 14:00.
TSK-C04,SCENARIO-C,Recovery,Inspect cargo crane before return to service,Ocean / Port Operations,SITE-01,"storm_severity <= LOW AND structural_check = PENDING",80,Emergency Response Coordinator,L4,2.0,CRW-001,EQP-001,IN PROGRESS,0.86,YES,CRW-001,2024-11-15T10:15:00Z,Operating an unchecked crane over active cargo berth creates injury and liability exposure,Inspection underway. Partial clearance issued for ground-level operations. Full crane clearance pending engineering sign-off.
TSK-C05,SCENARIO-C,Recovery,Send recovery status update to all stakeholders,All Sectors,ALL,"scenario_phase = RECOVERY",80,Emergency Response Coordinator,L4,0.5,CRW-001,EQP-002,PENDING — AWAITING APPROVAL,0.88,NO,,,Stakeholders operating on Scenario B crisis information — creates unnecessary supply chain escalation and crew family distress,watsonx recovery brief drafted covering restoration progress across all three sectors. Awaiting CRW-001 approval before dispatch.
