site_id,site_name,sector,zone,lat,lon,criticality,headcount_on_site,backup_power,backup_power_capacity_kw,backup_fuel_hrs,helicopter_pad,road_access_routes,evac_plan_id,nearest_hospital_km,revenue_impact_per_hr_cad,scenario_a_status,scenario_b_status,scenario_c_status,notes
SITE-01,St. John's Container Terminal,Ocean / Port Operations,ZONE-PORT,47.5706,-52.7093,HIGH,14,YES,450,72,NO,2,EV-PORT-01,4,85000,DEGRADED,SUSPENDED,ASSESSMENT,Main commercial port. Handles approximately $2.1B in annual cargo. Scenario A: reduced throughput with crane restrictions. Scenario B: full suspension — life safety risk from storm surge and extreme wind. Scenario C: structural inspection required before resuming operations.
SITE-02,Holyrood Marine Terminal,Ocean / Port Operations,ZONE-PORT,47.3812,-53.1302,HIGH,6,YES,220,48,NO,1,EV-PORT-02,22,42000,DEGRADED,SUSPENDED,PARTIAL,Fuel offloading terminal supplying the Avalon Peninsula. Scenario A: vessel queue forming and boom barrier at wave rating limit. Scenario B: boom barrier breached at 7.2m wave — suspension and structural risk to fuel pier. Scenario C: pier inspection required before any vessel approach.
SITE-03,Avalon Peninsula Feeder Line 7,Energy / Utilities,ZONE-GRID,47.4102,-53.0045,HIGH,3,YES,150,36,NO,2,EV-NRG-01,18,38000,DEGRADED,FAILED,PARTIAL RESTORE,Distribution feeder serving 18200 customers. Pre-existing degraded transformer TX-7 flagged before storm. Scenario A: monitoring elevated and crew dispatched. Scenario B: TX-7 fails under ice and wind loading — full outage. Scenario C: replacement transformer en route; 9400 customers restored via alternate feed.
SITE-04,Muskrat Falls Transmission Corridor,Energy / Utilities,ZONE-GRID,53.3341,-60.7789,CRITICAL,8,YES,800,96,NO,2,EV-NRG-02,85,120000,ACTIVE,DEGRADED,ACTIVE,High-voltage corridor supplying approximately 65000 NL customers. Scenario A: tower load monitoring elevated. Scenario B: ice accretion on Tower 14B above design threshold — backup generator pre-emptively activated; repair crew grounded. Scenario C: repair crew en route; tower stable under remote monitoring.
SITE-05,Voisey's Bay Mine Site,Mining / Remote Industrial Sites,ZONE-MINE,56.275,-62.5973,CRITICAL,142,YES,2200,120,YES,1,EV-MIN-01,210,195000,ACTIVE,ISOLATED,PARTIAL RESUME,Remote open-pit and underground mine. Single road access — 68 km from nearest town. Scenario A: surface ops on elevated watch and haul trucks near wind rating. Scenario B: road closed by Transport NL and helicopter suspended — 142 personnel confirmed sheltered. Scenario C: road assessment underway and helicopter window expected at 16:00.
SITE-06,Long Harbour Processing Plant,Mining / Remote Industrial Sites,ZONE-MINE,47.524,-53.7302,HIGH,78,YES,1800,60,NO,2,EV-MIN-02,14,88000,CONTROLLED SHUTDOWN,STANDBY,RESTARTING,Continuous nickel processing plant. Unplanned shutdown risks equipment damage and environmental release. Scenario A: controlled 6-hour ramp-down initiated proactively. Scenario B: fully halted and crew sheltered. Scenario C: 4-hour restart sequence initiated with environmental officer on-site.
SITE-07,Argentia Ferry and Ro-Ro Terminal,Ocean / Port Operations,ZONE-PORT,47.3006,-53.9861,HIGH,11,YES,300,40,NO,1,EV-PORT-03,15,56000,DEGRADED,SUSPENDED,ASSESSMENT,Ferry and roll-on roll-off cargo terminal connecting passenger traffic and critical freight. Scenario B: ramp and berth operations suspended due to wind and surge exposure. Scenario C: engineering inspection required before passenger loading resumes.
SITE-08,Corner Brook Bulk Terminal,Ocean / Port Operations,ZONE-PORT,48.9582,-57.9474,MODERATE,9,YES,180,54,NO,2,EV-PORT-04,7,31000,ACTIVE,DEGRADED,ACTIVE,Western NL bulk terminal handling salt aggregates and forestry cargo. Less exposed than Avalon sites but still affected by vessel queue spillover and equipment securing constraints during Scenario B.
SITE-09,Bonavista Community Microgrid,Energy / Utilities,ZONE-GRID,48.6495,-53.1147,HIGH,2,YES,90,28,NO,1,EV-NRG-03,3,18000,STANDBY,ISLANDED,REFUEL REQUIRED,Community microgrid supporting clinic refrigeration emergency shelter heat and telecom backup. Scenario B: feeder instability forces islanded operation. Scenario C: generator fuel margin becomes the limiting recovery constraint.
SITE-10,Burin Peninsula Water Lift Station,Energy / Utilities,ZONE-GRID,47.0831,-55.1805,HIGH,1,YES,65,18,NO,2,EV-NRG-04,11,22000,MONITORED,DEGRADED,STABLE,Water and wastewater lift station serving coastal communities. Scenario B: pump telemetry degrades under grid fluctuation. Backup generator fuel and pump runtime must be monitored to avoid service interruption.
SITE-11,Labrador Rail Spur Loading Yard,Mining / Remote Industrial Sites,ZONE-MINE,52.9433,-66.9184,HIGH,22,YES,600,36,NO,1,EV-MIN-03,42,73000,ACTIVE,SUSPENDED,INSPECTION,Ore loading yard connecting remote mine output to rail transport. Scenario B: switch heater failure and drifting snow suspend loading. Scenario C: track and loader inspection gate controls restart.
SITE-12,Duck Pond Tailings Monitoring Station,Mining / Remote Industrial Sites,ZONE-MINE,49.2098,-56.0911,HIGH,4,YES,120,24,YES,1,EV-MIN-04,62,46000,MONITORED,DEGRADED,MONITORING,Remote environmental monitoring station for tailings water level and spill detection. Scenario B: sensor degradation and satellite link dependency elevate environmental reporting risk.
