rule_id,rule_name,sector,condition_field,operator,threshold,threshold_unit,action_trigger,confidence_weight,severity_class,applies_to_scenarios,watsonx_prompt_hint,business_risk_if_ignored
RUL-01,Crane wind suspension threshold,Ocean / Port Operations,wind_kph_sustained,>=,65,kph,SUSPEND_CRANE_OPERATIONS,0.93,HIGH,"SCENARIO-A, SCENARIO-B","Scan all equipment records where type = Crane and site sector = Ocean / Port Operations. If current wind_kph_sustained >= max_wind_kph, generate suspension task and flag assigned crew for securing duty.",Structural crane failure or falling load. $400K+ equipment loss. Serious injury risk and regulatory shutdown.
RUL-02,Vessel traffic advisory threshold,Ocean / Port Operations,wave_height_m,>=,2.5,metres,ISSUE_VESSEL_TRAFFIC_ADVISORY,0.90,HIGH,"SCENARIO-A, SCENARIO-B","When wave_height_m >= 2.5 or wind_kph_sustained >= 65 in ZONE-PORT, generate a vessel advisory task assigned to the Marine Safety Officer. Draft should include zone, conditions, and effective time.",Vessels proceeding without warning risk grounding or collision. Liability exposure and cargo loss.
RUL-03,Port full suspension trigger,Ocean / Port Operations,wave_height_m,>=,5.0,metres,SUSPEND_ALL_PORT_OPERATIONS,0.95,CRITICAL,"SCENARIO-B","When wave_height_m >= 5.0 or storm_severity = EXTREME in ZONE-PORT, generate full suspension task. Flag all on-site crew not in shelter. Notify Transport Canada and Coast Guard via stakeholder update.",Life safety risk from storm surge and extreme wind. Regulatory obligation to suspend. All outdoor crew must shelter.
RUL-04,Degraded equipment storm loading escalation,Energy / Utilities,inspection_result,=,FAIL,categorical,MONITOR_AND_PREPARE_ISOLATION,0.85,HIGH,"SCENARIO-A, SCENARIO-B","Identify all equipment records with inspection_result = FAIL or CONDITIONAL in the Energy sector. Cross-reference storm severity and ice_accretion_mm. If severity >= MODERATE, generate monitoring task. If severity = EXTREME, escalate to isolation recommendation.",Unmonitored failure causes unplanned outage with no advance load shedding. Extended restoration time and customer impact.
RUL-05,Ice accretion transmission risk,Energy / Utilities,ice_accretion_mm,>=,4,mm,INSPECT_TOWERS_AND_PREPARE_LOAD_SHED,0.92,CRITICAL,"SCENARIO-B","When ice_accretion_mm >= 4 in ZONE-GRID, flag all transmission towers in affected zone. Dispatch inspector if available. Pre-emptively prepare load shedding plan. Ice loading is a leading cause of tower failure in NL.",Tower collapse causes multi-day regional outage. Replacement cost $800K–$2.4M per tower. 65000 customers at risk.
RUL-06,Lineworker fatigue in storm conditions,Energy / Utilities,hours_on_shift,>=,6,hours,RECOMMEND_CREW_SWAP,0.88,HIGH,"SCENARIO-A, SCENARIO-B","Scan all crew where sector = Energy / Utilities and availability includes ON-SHIFT. Flag anyone with hours_on_shift >= 6 and storm_rated = NO when severity >= HIGH. Identify rested storm-rated replacement at same site and generate swap task.",Fatigued non-storm-rated worker on energized lines in severe conditions. Elevated injury risk. WSCC fatigue compliance breach.
RUL-07,Surface crew wind recall — open pit,Mining / Remote Industrial Sites,wind_kph_sustained,>=,100,kph,RECALL_SURFACE_CREW_TO_SHELTER,0.96,CRITICAL,"SCENARIO-B","Scan all crew at open-pit or surface mining sites. Flag anyone with storm_rated = NO or operating equipment where wind_kph_sustained >= equip_max_wind_kph. Generate immediate recall task assigned to Mine Safety Supervisor.",Regulatory stop-work obligation at sustained winds above rated equipment limits. Personnel fatality risk in open pit.
RUL-08,Mining equipment wind rating breach,Mining / Remote Industrial Sites,wind_kph_sustained,>=,equip_max_wind_kph,kph,PARK_AND_SECURE_EQUIPMENT,0.93,CRITICAL,"SCENARIO-B","For each equipment record at a Mining site, compare current wind_kph_sustained to max_wind_kph. If current wind >= rated limit and status is not PARKED or SECURED, generate securing task and recall assigned operator.",Equipment rollover or structural failure. Loss of haul truck ($5M+). Secondary damage to pit infrastructure.
RUL-09,Remote site dual-access isolation,Mining / Remote Industrial Sites,road_access_routes,=,1,count,CONFIRM_ISOLATION_STATUS_AND_NOTIFY,0.90,HIGH,"SCENARIO-B, SCENARIO-C","When road_access_routes = 1 and road_closed = TRUE and helicopter_suspended = TRUE for any site, flag as ISOLATED. Generate headcount confirmation task and stakeholder notification. Include estimated re-access window if available.",142 personnel with no confirmed status. Duty-of-care obligation. Crew family and corporate escalation risk.
RUL-10,Continuous process unplanned shutdown risk,Mining / Remote Industrial Sites,storm_severity,=,EXTREME,categorical,INITIATE_CONTROLLED_SHUTDOWN,0.93,CRITICAL,"SCENARIO-A, SCENARIO-B","For sites with sub-type = Processing Plant, verify controlled shutdown has been initiated when severity reaches MODERATE or higher. If not confirmed, generate highest-priority shutdown task. Controlled ramp-down must begin before full storm arrival to be effective.",Unplanned power loss during continuous nickel processing causes cascade equipment damage. $2.4M+ repair cost. Environmental release risk.
RUL-11,Generator fuel depletion warning,All Sectors,fuel_pct,<=,75,percent,FLAG_FUEL_LEVEL_AND_PLAN_RESUPPLY,0.82,MODERATE,"SCENARIO-B, SCENARIO-C","Scan all equipment where type = Generator. Flag any with fuel_pct <= 75. Estimate runtime at current load. Check resupply route status — road_open and helicopter_available. Generate resupply task or load-shedding recommendation if resupply is blocked.",Backup power failure during extended outage. Site comms loss. Safety system failure in isolated mine site.
RUL-12,Post-storm inspection gate before restart,All Sectors,scenario_phase,=,RECOVERY,categorical,REQUIRE_INSPECTION_BEFORE_RESTART,0.87,HIGH,"SCENARIO-C","For all sites and equipment transitioning from SUSPENDED or STANDBY to ACTIVE in recovery phase, verify inspection record exists and result = PASS or CLEARED. Block restart task generation until confirmed. Flag any restart attempt without inspection.",Premature restart with hidden storm damage causes secondary failure. Worker injury during unstable restart. Insurance and regulatory exposure.
